Date,Time,HomeTeam,Score,AwayTeam,Week,Season
08/08/2022,20:15,Gil Vicente,1-0,Paços de Ferreira,J01,2022-2023
07/08/2022,20:30,Portimonense,0-1,Boavista,J01,2022-2023
07/08/2022,20:30,GD Chaves,0-1,Vitória SC,J01,2022-2023
07/08/2022,18:00,SC Braga,3-3,Sporting,J01,2022-2023
07/08/2022,15:30,Santa Clara,0-0,Casa Pia,J01,2022-2023
06/08/2022,20:30,FC Porto,5-1,Marítimo,J01,2022-2023
06/08/2022,18:00,Estoril Praia,2-0,FC Famalicão,J01,2022-2023
06/08/2022,15:30,Rio Ave,0-1,FC Vizela,J01,2022-2023
05/08/2022,20:15,Benfica,4-0,FC Arouca,J01,2022-2023
15/05/2022,20:30,Vitória SC,5-0,Gil Vicente,J34,2021-2022
15/05/2022,18:00,FC Famalicão,3-2,SC Braga,J34,2021-2022
14/05/2022,20:30,Sporting,4-0,Santa Clara,J34,2021-2022
14/05/2022,18:00,Marítimo,0-1,Portimonense,J34,2021-2022
14/05/2022,18:00,FC Porto,2-0,Estoril Praia,J34,2021-2022
14/05/2022,15:30,Moreirense,4-1,FC Vizela,J34,2021-2022
14/05/2022,15:30,FC Arouca,0-0,Belenenses SAD,J34,2021-2022
14/05/2022,15:30,CD Tondela,2-2,Boavista,J34,2021-2022
13/05/2022,20:15,Paços de Ferreira,0-2,Benfica,J34,2021-2022
09/05/2022,20:15,Belenenses SAD,2-3,FC Famalicão,J33,2021-2022
08/05/2022,20:30,Santa Clara,2-0,Paços de Ferreira,J33,2021-2022
08/05/2022,18:00,SC Braga,1-0,FC Arouca,J33,2021-2022
08/05/2022,15:30,Gil Vicente,3-0,CD Tondela,J33,2021-2022
08/05/2022,15:30,FC Vizela,1-1,Marítimo,J33,2021-2022
07/05/2022,20:30,Portimonense,2-3,Sporting,J33,2021-2022
07/05/2022,18:00,Benfica,0-1,FC Porto,J33,2021-2022
07/05/2022,15:30,Estoril Praia,1-0,Moreirense,J33,2021-2022
06/05/2022,20:15,Boavista,1-1,Vitória SC,J33,2021-2022
02/05/2022,20:15,Paços de Ferreira,1-1,CD Tondela,J32,2021-2022
01/05/2022,20:30,Sporting,4-1,Gil Vicente,J32,2021-2022
01/05/2022,18:00,Moreirense,1-2,Boavista,J32,2021-2022
01/05/2022,15:30,Vitória SC,1-1,Santa Clara,J32,2021-2022
30/04/2022,21:00,Belenenses SAD,0-1,SC Braga,J32,2021-2022
30/04/2022,19:00,FC Porto,4-2,FC Vizela,J32,2021-2022
30/04/2022,17:00,Marítimo,0-1,Benfica,J32,2021-2022
30/04/2022,15:00,FC Arouca,1-0,Portimonense,J32,2021-2022
29/04/2022,20:15,FC Famalicão,3-1,Estoril Praia,J32,2021-2022
25/04/2022,20:30,Boavista,0-3,Sporting,J31,2021-2022
25/04/2022,18:00,SC Braga,1-0,FC Porto,J31,2021-2022
24/04/2022,20:30,CD Tondela,1-1,Vitória SC,J31,2021-2022
24/04/2022,18:00,Estoril Praia,2-2,Belenenses SAD,J31,2021-2022
23/04/2022,20:30,Gil Vicente,1-1,Paços de Ferreira,J31,2021-2022
23/04/2022,18:00,Santa Clara,2-2,Marítimo,J31,2021-2022
23/04/2022,18:00,Benfica,0-0,FC Famalicão,J31,2021-2022
23/04/2022,15:30,Portimonense,1-0,Moreirense,J31,2021-2022
22/04/2022,20:15,FC Vizela,2-1,FC Arouca,J31,2021-2022
18/04/2022,20:30,Estoril Praia,0-0,SC Braga,J30,2021-2022
17/04/2022,20:30,Sporting,0-2,Benfica,J30,2021-2022
16/04/2022,20:30,FC Porto,7-0,Portimonense,J30,2021-2022
16/04/2022,18:00,Marítimo,4-0,Boavista,J30,2021-2022
