Date,Time,HomeTeam,Score,AwayTeam,Week,Season
12/08/2022,20:15,FC Famalicão,,SC Braga,J2,2022-2023
13/08/2022,18:00,Casa Pia,,Benfica,J2,2022-2023
13/08/2022,20:30,Sporting,,Rio Ave,J2,2022-2023
14/08/2022,15:30,Boavista,,Santa Clara,J2,2022-2023
14/08/2022,18:00,FC Vizela,,FC Porto,J2,2022-2023
14/08/2022,20:30,Vitória SC,,Estoril Praia,J2,2022-2023
15/08/2022,15:30,Marítimo,,GD Chaves,J2,2022-2023
15/08/2022,18:00,FC Arouca,,Gil Vicente,J2,2022-2023
15/08/2022,20:30,Paços de Ferreira,,Portimonense,J2,2022-2023
19/08/2022,20:15,Estoril Praia,,Rio Ave,J3,2022-2023
20/08/2022,15:30,Santa Clara,,FC Arouca,J3,2022-2023
20/08/2022,18:00,GD Chaves,,FC Vizela,J3,2022-2023
20/08/2022,20:30,FC Porto,,Sporting,J3,2022-2023
21/08/2022,15:30,Casa Pia,,Boavista,J3,2022-2023
21/08/2022,18:00,SC Braga,,Marítimo,J3,2022-2023
21/08/2022,20:30,Portimonense,,Vitória SC,J3,2022-2023
22/08/2022,20:15,Gil Vicente,,FC Famalicão,J3,2022-2023
26/08/2022,20:15,Paços de Ferreira,,Estoril Praia,J4,2022-2023
27/08/2022,15:30,Marítimo,,Portimonense,J4,2022-2023
27/08/2022,18:00,Boavista,,Benfica,J4,2022-2023
27/08/2022,20:30,Sporting,,GD Chaves,J4,2022-2023
28/08/2022,15:30,FC Famalicão,,Santa Clara,J4,2022-2023
28/08/2022,18:00,FC Arouca,,SC Braga,J4,2022-2023
28/08/2022,20:30,Rio Ave,,FC Porto,J4,2022-2023
29/08/2022,19:00,Vitória SC,,Casa Pia,J4,2022-2023
29/08/2022,21:15,FC Vizela,,Gil Vicente,J4,2022-2023
30/08/2022,20:15,Benfica,,Paços de Ferreira,J3,2022-2023
04/09/2022,Não Agendado,Benfica,,FC Vizela,J5,2022-2023
04/09/2022,Não Agendado,Boavista,,Paços de Ferreira,J5,2022-2023
04/09/2022,Não Agendado,Casa Pia,,FC Arouca,J5,2022-2023
04/09/2022,Não Agendado,Estoril Praia,,Sporting,J5,2022-2023
04/09/2022,Não Agendado,GD Chaves,,Rio Ave,J5,2022-2023
04/09/2022,Não Agendado,Gil Vicente,,FC Porto,J5,2022-2023
04/09/2022,Não Agendado,Portimonense,,FC Famalicão,J5,2022-2023
04/09/2022,Não Agendado,SC Braga,,Vitória SC,J5,2022-2023
04/09/2022,Não Agendado,Santa Clara,,Marítimo,J5,2022-2023
11/09/2022,Não Agendado,FC Arouca,,Boavista,J6,2022-2023
11/09/2022,Não Agendado,FC Famalicão,,Benfica,J6,2022-2023
11/09/2022,Não Agendado,FC Porto,,GD Chaves,J6,2022-2023
11/09/2022,Não Agendado,FC Vizela,,Estoril Praia,J6,2022-2023
11/09/2022,Não Agendado,Marítimo,,Gil Vicente,J6,2022-2023
11/09/2022,Não Agendado,Paços de Ferreira,,Casa Pia,J6,2022-2023
11/09/2022,Não Agendado,Rio Ave,,SC Braga,J6,2022-2023
11/09/2022,Não Agendado,Sporting,,Portimonense,J6,2022-2023
11/09/2022,Não Agendado,Vitória SC,,Santa Clara,J6,2022-2023
18/09/2022,Não Agendado,Benfica,,Marítimo,J7,2022-2023
18/09/2022,Não Agendado,Boavista,,Sporting,J7,2022-2023
18/09/2022,Não Agendado,Casa Pia,,FC Famalicão,J7,2022-2023
18/09/2022,Não Agendado,Estoril Praia,,FC Porto,J7,2022-2023
18/09/2022,Não Agendado,FC Arouca,,Vitória SC,J7,2022-2023
18/09/2022,Não Agendado,Gil Vicente,,Rio Ave,J7,2022-2023
18/09/2022,Não Agendado,Portimonense,,GD Chaves,J7,2022-2023
18/09/2022,Não Agendado,SC Braga,,FC Vizela,J7,2022-2023
18/09/2022,Não Agendado,Santa Clara,,Paços de Ferreira,J7,2022-2023
02/10/2022,Não Agendado,FC Famalicão,,Boavista,J8,2022-2023
02/10/2022,Não Agendado,FC Porto,,SC Braga,J8,2022-2023
02/10/2022,Não Agendado,FC Vizela,,Portimonense,J8,2022-2023
02/10/2022,Não Agendado,GD Chaves,,Estoril Praia,J8,2022-2023
02/10/2022,Não Agendado,Marítimo,,Casa Pia,J8,2022-2023
02/10/2022,Não Agendado,Paços de Ferreira,,FC Arouca,J8,2022-2023
02/10/2022,Não Agendado,Rio Ave,,Santa Clara,J8,2022-2023
02/10/2022,Não Agendado,Sporting,,Gil Vicente,J8,2022-2023
02/10/2022,Não Agendado,Vitória SC,,Benfica,J8,2022-2023
09/10/2022,Não Agendado,Benfica,,Rio Ave,J9,2022-2023
09/10/2022,Não Agendado,Boavista,,Marítimo,J9,2022-2023
09/10/2022,Não Agendado,Casa Pia,,FC Vizela,J9,2022-2023
09/10/2022,Não Agendado,FC Arouca,,FC Famalicão,J9,2022-2023
09/10/2022,Não Agendado,Gil Vicente,,Estoril Praia,J9,2022-2023
09/10/2022,Não Agendado,Paços de Ferreira,,Vitória SC,J9,2022-2023
09/10/2022,Não Agendado,Portimonense,,FC Porto,J9,2022-2023
09/10/2022,Não Agendado,SC Braga,,GD Chaves,J9,2022-2023
09/10/2022,Não Agendado,Santa Clara,,Sporting,J9,2022-2023
23/10/2022,Não Agendado,Estoril Praia,,SC Braga,J10,2022-2023
23/10/2022,Não Agendado,FC Famalicão,,Paços de Ferreira,J10,2022-2023
23/10/2022,Não Agendado,FC Porto,,Benfica,J10,2022-2023
23/10/2022,Não Agendado,FC Vizela,,Santa Clara,J10,2022-2023
23/10/2022,Não Agendado,GD Chaves,,Gil Vicente,J10,2022-2023
23/10/2022,Não Agendado,Marítimo,,FC Arouca,J10,2022-2023
23/10/2022,Não Agendado,Rio Ave,,Portimonense,J10,2022-2023
23/10/2022,Não Agendado,Sporting,,Casa Pia,J10,2022-2023
23/10/2022,Não Agendado,Vitória SC,,Boavista,J10,2022-2023
30/10/2022,Não Agendado,Benfica,,GD Chaves,J11,2022-2023
30/10/2022,Não Agendado,Boavista,,FC Vizela,J11,2022-2023
30/10/2022,Não Agendado,Casa Pia,,Rio Ave,J11,2022-2023
30/10/2022,Não Agendado,FC Arouca,,Sporting,J11,2022-2023
30/10/2022,Não Agendado,Gil Vicente,,SC Braga,J11,2022-2023
30/10/2022,Não Agendado,Paços de Ferreira,,Marítimo,J11,2022-2023
30/10/2022,Não Agendado,Portimonense,,Estoril Praia,J11,2022-2023
30/10/2022,Não Agendado,Santa Clara,,FC Porto,J11,2022-2023
30/10/2022,Não Agendado,Vitória SC,,FC Famalicão,J11,2022-2023
06/11/2022,Não Agendado,Estoril Praia,,Benfica,J12,2022-2023
06/11/2022,Não Agendado,FC Porto,,Paços de Ferreira,J12,2022-2023
06/11/2022,Não Agendado,FC Vizela,,FC Arouca,J12,2022-2023
06/11/2022,Não Agendado,GD Chaves,,Santa Clara,J12,2022-2023
06/11/2022,Não Agendado,Gil Vicente,,Portimonense,J12,2022-2023
06/11/2022,Não Agendado,Marítimo,,FC Famalicão,J12,2022-2023
06/11/2022,Não Agendado,Rio Ave,,Boavista,J12,2022-2023
